id;code;composer;country;first_name;middle_name;last_name
48868;CID0000000000HR0;Rachman H.;ID;Rachman;;H.
48869;CID0000000000RR0;Rachmansyah;ID;Rachmansyah;;
48870;CID0000000000AR0;Rachmat A.S;ID;Rachmat;;A.S
48871;CID0000000000AR0;Rachmat AS;ID;Rachmat;;AS
48872;CID0000000000KR0;Rachmat Kartolo;ID;Rachmat;;Kartolo
48873;CID0000000000RR0;Rachmiyati;ID;Rachmiyati;;
48874;CID0000000000FR0;Racka Fandiana;ID;Racka;;Fandiana
48875;CEN0000000000AR0;"Rahky"" Anteola";EN;"Rahky""";;Anteola
48876;CID0000000000SR0;Radeen Sri;ID;Radeen;;Sri
48877;CIN0000000000PRR;Raden Roy Pradana;IN;Raden;Roy;Pradana
48878;CID0000000000SR0;Raden Sri;ID;Raden;;Sri
48879;CID0000000000RR0;Radha;ID;Radha;;
48880;CID0000000000HRA;Radhini Aprilya Hapsari;ID;Radhini;Aprilya;Hapsari
48881;CID0000000000RR0;RADi;ID;RADi;;
48882;CID0000000000RR0;Radinal;ID;Radinal;;
48883;CEN0000000000RR0;Radiohead;EN;Radiohead;;
48884;CID0000000000DR0;Raditya Dika;ID;Raditya;;Dika
48885;CEN0000000000FR0;Radney Foster;EN;Radney;;Foster
48886;CKR0000000000RR0;Rado;KR;Rado;;
48887;CKR0000000000RR0;Rado;KR;Rado;;
48888;CEN0000000000DR0;Radric Davis;EN;Radric;;Davis
48889;CEN0000000000BR0;Radu Bolfea;EN;Radu;;Bolfea
48890;CEN0000000000LR0;Radu Lefter;EN;Radu;;Lefter
48891;CEN0000000000SR0;Radu Sîrbu;EN;Radu;;Sîrbu
48892;CEN0000000000RR0;Raef;EN;Raef;;
48893;CEN0000000000RR0;Raekwon;EN;Raekwon;;
48894;CEN0000000000AR0;Raelene Arreguin;EN;Raelene;;Arreguin
48895;CEN0000000000RR0;RaeLynn;EN;RaeLynn;;
48896;CEN0000000000PR0;Raeon Primus;EN;Raeon;;Primus
48897;CKR0000000000SR0;Raf Sandou;KR;Raf;;Sandou
48898;CEN0000000000IRD;Rafael D. Ishman;EN;Rafael;D.;Ishman
48899;CEN0000000000PR0;Rafael Pina;EN;Rafael;;Pina
48900;CEN0000000000RR0;Rafael Ruiz;EN;Rafael;;Ruiz
48901;CEN0000000000PRR;Rafael Ruiz Perdigones;EN;Rafael;Ruiz;Perdigones
48902;CID0000000000SR0;Rafael Sitorus;ID;Rafael;;Sitorus
48903;CID0000000000RR0;Raff;ID;Raff;;
48904;CEN0000000000RR0;Raffaele Riefoli;EN;Raffaele;;Riefoli
48905;CID0000000000AR0;Raffi Ahmad;ID;Raffi;;Ahmad
48906;CID0000000000KR0;Rafi Komar;ID;Rafi;;Komar
48907;CID0000000000SR0;Rafi Sudirman;ID;Rafi;;Sudirman
48908;CID0000000000RR0;Rafika;ID;Rafika;;
48909;CID0000000000SR0;Rafika Saleh;ID;Rafika;;Saleh
48910;CID0000000000RR0;Rafly;ID;Rafly;;
48911;CEN0000000000RR0;Rafn;EN;Rafn;;
48912;CID0000000000KR0;Rafy Komar;ID;Rafy;;Komar
48913;CEN0000000000MRN;Rag n Bone Man;EN;Rag;n Bone;Man
48914;CID0000000000SR0;Rag S.;ID;Rag;;S.
48915;CEN0000000000MR0;Rag’n’Bone Man;EN;Rag’n’Bone;;Man
48916;CID0000000000SR0;Ragil S;ID;Ragil;;S
48917;CID0000000000SR0;Ragil S.B;ID;Ragil;;S.B
48918;CID0000000000SR0;Ragil SB;ID;Ragil;;SB
48919;CID0000000000BRS;Ragil Suro Bangkit;ID;Ragil;Suro;Bangkit
48920;CID0000000000LR0;Raguel Lewi;ID;Raguel;;Lewi
48921;CID0000000000LRL;Raguel Lewi and Mytha Lestari;ID;Raguel;Lewi and Mytha;Lestari
48922;CID0000000000LR0;RAGUEL LEWY;ID;RAGUEL;;LEWY
48923;CID0000000000KR0;Rahayu K.;ID;Rahayu;;K.
48924;CID0000000000WRK;Rahayu K. Wiguna;ID;Rahayu;K.;Wiguna
48925;CEN0000000000DR0;Raheem DeVaughn;EN;Raheem;;DeVaughn
48926;CEN0000000000DRT;Raheem the Dream;EN;Raheem;the;Dream
48927;CID0000000000JR0;Rahim Jantan;ID;Rahim;;Jantan
48928;CID0000000000OR0;Rahim Othman;ID;Rahim;;Othman
48929;CEN0000000000RR0;Rahky;EN;Rahky;;
48930;CID0000000000PR0;Rahman Palu;ID;Rahman;;Palu
48931;CID0000000000WRS;Rahman Sadli Waraiya;ID;Rahman;Sadli;Waraiya
48932;CID0000000000AR0;Rahmania Astrini;ID;Rahmania;;Astrini
48933;CID0000000000RR0;Rahmat;ID;Rahmat;;
48934;CID0000000000AR0;Rahmat AS;ID;Rahmat;;AS
48935;CID0000000000WR0;Rahmat Wahyudi;ID;Rahmat;;Wahyudi
48936;CID0000000000XR0;Rahtut XXX;ID;Rahtut;;XXX
48937;CID0000000000RR0;Raida;ID;Raida;;
48938;CID0000000000RR0;Raihan;ID;Raihan;;
48939;CID0000000000LR0;Raim Laode;ID;Raim;;Laode
48940;CID0000000000RR0;Rain;ID;Rain;;
48941;CID0000000000IRR;Rainaldi Ramadhan Item;ID;Rainaldi;Ramadhan;Item
48942;CEN0000000000MR0;Rainard Miner;EN;Rainard;;Miner
48943;CID0000000000MRA;Raindy Aditya Maramis;ID;Raindy;Aditya;Maramis
48944;CEN0000000000MR0;Raine Maida;EN;Raine;;Maida
48945;CEN0000000000SR0;Rainey Sumeke;EN;Rainey;;Sumeke
48946;CEN0000000000JR0;Raining jane;EN;Raining;;jane
48947;CID0000000000KR0;Rais K;ID;Rais;;K
48948;CID0000000000KR0;Rais Kidal;ID;Rais;;Kidal
48949;CID0000000000NR0;Rais N;ID;Rais;;N
48950;CID0000000000RR0;Raisa;ID;Raisa;;
48951;CID0000000000AR0;Raisa A;ID;Raisa;;A
48952;CID0000000000AR0;Raisa Andriana;ID;Raisa;;Andriana
48953;CEN0000000000AR0;Raissa Ang;EN;Raissa;;Ang
48954;CID0000000000AR0;Raissa Anggiani;ID;Raissa;;Anggiani
48955;CID0000000000RR0;Raissa Ramadhani;ID;Raissa;;Ramadhani
48956;CID0000000000AR0;Rajali Asmarah;ID;Rajali;;Asmarah
48957;CKR0000000000MR0;Rajan Muse;KR;Rajan;;Muse
48958;CID0000000000RR0;Raka;ID;Raka;;
48959;CID0000000000CR0;Raka Cyril;ID;Raka;;Cyril
48960;CKR0000000000RR0;Raki;KR;Raki;;
48961;CEN0000000000MR0;Rakim Mayers;EN;Rakim;;Mayers
48962;CEN0000000000RR0;Raleigh;EN;Raleigh;;
48963;CEN0000000000HR0;Ralf Hutter;EN;Ralf;;Hutter
48964;CEN0000000000KR0;Ralf Kappmeier;EN;Ralf;;Kappmeier
48965;CEN0000000000MR0;Ralp MacDonald;EN;Ralp;;MacDonald
48966;CEN0000000000BR0;Ralph Bailey;EN;Ralph;;Bailey
48967;CEN0000000000BR0;Ralph Bass;EN;Ralph;;Bass
48968;CEN0000000000FR0;Ralph Freed;EN;Ralph;;Freed
48969;CEN0000000000JR0;Ralph Jeanty;EN;Ralph;;Jeanty
48970;CEN0000000000JR0;Ralph Johnson;EN;Ralph;;Johnson
48971;CEN0000000000MR0;Ralph McDonald;EN;Ralph;;McDonald
48972;CEN0000000000MR0;Ralph McTell;EN;Ralph;;McTell
48973;CEN0000000000MR0;Ralph Murphy;EN;Ralph;;Murphy
48974;CEN0000000000RR0;Ralph Rainger;EN;Ralph;;Rainger
48975;CCN0000000000SR0;Ralph Siegel;CN;Ralph;;Siegel
48976;CEN0000000000TR0;Ralph Tresvant;EN;Ralph;;Tresvant
48977;CEN0000000000HRV;Ralph van Hilst;EN;Ralph;van;Hilst
48978;CJP0000000000RR0;Ralz;JP;Ralz;;
48979;CID0000000000RR0;Rama;ID;Rama;;
48980;CID0000000000AR0;Rama Aiphama;ID;Rama;;Aiphama
48981;CEN0000000000CR0;Rama Cristna;EN;Rama;;Cristna
48982;CID0000000000DR0;Rama D'Masiv;ID;Rama;;D'Masiv
48983;CID0000000000MR0;Rama Mascapada;ID;Rama;;Mascapada
48984;CID0000000000MR0;Rama Mayristha;ID;Rama;;Mayristha
48985;CID0000000000SR0;Ramadanil Syab;ID;Ramadanil;;Syab
48986;CID0000000000RR0;Ramadhan;ID;Ramadhan;;
48987;CID0000000000AR0;Ramadhan Amat;ID;Ramadhan;;Amat
48988;CID0000000000HR0;Ramadhan H;ID;Ramadhan;;H
48989;CID0000000000HR0;Ramadhan Handy;ID;Ramadhan;;Handy
48990;CID0000000000JRH;Ramadhan Handyanto Jiwatama;ID;Ramadhan;Handyanto;Jiwatama
48991;CID0000000000HR0;Ramadhan Hanyanto;ID;Ramadhan;;Hanyanto
48992;CID0000000000SR0;Ramadhan Satria;ID;Ramadhan;;Satria
48993;CID0000000000RR0;Ramadian;ID;Ramadian;;
48994;CIN0000000000RR0;Ramamurthy;IN;Ramamurthy;;
48995;CKR0000000000KR0;Rambo Kay;KR;Rambo;;Kay
